tiempo (s),C_OD (mg/L)
0,0.533
10,0.771
20,1.062
30,1.193
40,1.442
50,1.648
60,1.878
70,2.039
80,2.311
90,2.461
100,2.588
110,2.776
120,2.991
130,3.168
140,3.364
150,3.544
160,3.582
170,3.658
180,3.739
190,3.956
200,4.03
210,4.157
220,4.256
230,4.378
240,4.525
250,4.583
260,4.661
270,4.713
280,4.771
290,4.899
300,4.993
310,5.139
320,5.145
330,5.246
340,5.252
350,5.287
360,5.356
370,5.423
380,5.592
390,5.527
400,5.644
410,5.623
420,5.742
430,5.765
440,5.786
450,5.832
460,5.847
470,5.929
480,5.929
490,5.933
500,5.964
510,6.054
520,6.141
530,6.114
540,6.131
550,6.175
560,6.241
570,6.223
580,6.221
590,6.305
600,6.3
